时间（周）,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）
201919,1.074033882,1.85313223,0.294935533
201920,0.968225254,1.747323603,0.189126906
201921,0.864664342,1.64376269,0.085565993
201922,0.882012755,1.661111103,0.102914407
201923,0.823240675,1.602339023,0.044142327
201924,0.855809131,1.63490748,0.076710783
201925,0.855284717,1.634383066,0.076186369
201926,0.73480923,1.513907578,-0.044289118
201927,0.768397426,1.547495774,-0.010700922
201928,0.684397875,1.463496223,-0.094700474
201929,0.724240559,1.503338907,-0.054857789
201930,0.772555852,1.5516542,-0.006542496
201931,0.634026848,1.413125196,-0.1450715
201932,0.626516488,1.405614837,-0.15258186
201933,0.713380959,1.492479307,-0.065717389
201934,0.742647016,1.521745364,-0.036451332
201935,0.551456185,1.330554533,-0.227642163
201936,0.73714761,1.516245958,-0.041950738
201937,0.798588073,1.577686421,0.019489725
201938,0.604375046,1.383473394,-0.174723302
201939,0.698655378,1.477753726,-0.08044297
201940,1.10598579,1.885084138,0.326887442
201941,0.6488676,1.427965948,-0.130230749
201942,0.837960791,1.617059139,0.058862442
201943,0.878247746,1.657346094,0.099149397
201944,0.8275904,1.606688748,0.048492052
201945,0.58607084,1.365169189,-0.193027508
201946,0.760555568,1.539653916,-0.01854278
201947,0.797471012,1.57656936,0.018372664
201948,0.515244994,1.294343342,-0.263853354
201949,0.719812636,1.498910984,-0.059285712
201950,0.727920059,1.507018407,-0.051178289
201951,0.692892095,1.471990443,-0.086206253
201952,0.752660371,1.531758719,-0.026437977
202001,0.94244844,1.721546788,0.163350092
202002,0.747329675,1.526428024,-0.031768673
202003,0.785113046,1.564211394,0.006014697
202004,0.79609964,1.575197988,0.017001291
202005,0.764628926,1.543727274,-0.014469423
202006,0.689001493,1.468099842,-0.090096855
202007,0.777161566,1.556259914,-0.001936783
202008,0.832918316,1.612016664,0.053819967
202009,0.731014335,1.510112683,-0.048084014
202010,0.810742967,1.589841316,0.031644619
202011,1.016896983,1.795995331,0.237798635
202012,0.751058787,1.530157135,-0.028039561
202013,0.832258047,1.611356395,0.053159698
202014,0.826760762,1.605859111,0.047662414
202015,0.849505018,1.628603366,0.070406669
202016,0.702943888,1.482042236,-0.076154461
202017,0.791835646,1.570933994,0.012737298
202018,0.790630519,1.569728867,0.01153217
202019,0.59128463,1.370382978,-0.187813718
202020,0.681344122,1.46044247,-0.097754226
202021,0.758634877,1.537733225,-0.020463472
202022,0.883616951,1.662715299,0.104518603
202023,1.035455849,1.814554197,0.256357501
202024,0.952820861,1.73191921,0.173722513
202025,1.157812647,1.936910995,0.378714299
202026,0.930326229,1.709424578,0.151227881
202027,0.927018936,1.706117284,0.147920587
202028,0.795646084,1.574744433,0.016547736
202029,0.962584868,1.741683217,0.18348652
202030,0.797421599,1.576519947,0.018323251
202031,0.857982995,1.637081343,0.078884646
202032,0.897412837,1.676511185,0.118314488
202033,0.664284882,1.44338323,-0.114813467
